FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,MANAGE_MBY_NM,WORKDAY_OPER_AT,WKEND_OPER_AT,SPR_OPER_AT,SUMR_OPER_AT,FALL_OPER_AT,WNT_OPER_AT,ELECT_PROVD_AT,HWATER_PROVD_AT,WIFI_HOLD_AT,FWOOD_SLE_AT,WLK_ROAD_AT,WATERPARK_HOLD_AT,PLY_FCLTY_HOLD_AT,MART_HOLD_AT,TOILET_CO,SHWERRM_CO,SINK_CO,FETGS_CO,CFR_FSHNG_FCLTY_AT,CFR_WLK_ROAD_FCLTY_AT,CFR_BEACH_FCLTY_AT,CFR_PRIZE_LSR_FCLTY_AT,CFR_VALL_FCLTY_AT,CFR_RIVER_FCLTY_AT,CFR_POOL_FCLTY_AT,CFR_YNGBGS_EXPRN_FCLTY_AT,CFR_FAFV_EXPRN_FCLTY_AT,CFR_CHILD_PLY_FCLTY_AT,GLAMPING_BED_HOLD_AT,GLAMPING_TV_HOLD_AT,GLAMPING_FRIDGE_HOLD_AT,GLAMPING_WIFI_HOLD_AT,GLAMPING_IN_TOILET_HOLD_AT,GLAMPING_AC_HOLD_AT,GLAMPING_HEATER_HOLD_AT,GLAMPING_CKNG_TOOL_HOLD_AT,ETC_FCLTY_DC,FCLTY_INTRCN_CN,LAST_UPDT_DE
영학관광농원야영장,여가활동,캠핑,일반야영장,경상남도,창원시 마산합포구,진북면,영학리,555 번지,학동로,537-280 번,35.15421709,128.4337214,51786,경상남도 창원시 마산합포구 진북면 학동로 537-280,경상남도 창원시 마산합포구 진북면 영학리 555,,,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,1,1,1,0,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,"개인 트레일러 입장가능,반려동물 동반 불가능","영학관광농원 캠핑장은 창원 근교의 조용하고 한적한 곳에 위치하고 있으며 20여 개의 사이트를 가진 야영장과 글램핑의 구성으로 이루어진 캠핑장이다. 구불구불하고 오르막인 외딴길을 따라오면 조용하고 아담한 캠핑장이 보인다. 그곳이 영학관광농원 캠핑장이다.    관광농원이라 캠핑장 뒤편으로는 각종 식물들과 버섯이 재배되고 있으며, 텃밭에는 쌈 종류의 야채들이 주렁주렁 한 가득 매달려 있다. 사장님 내외분이 정성껏 키우신 야채들을 무료로 먹을 수 있다.    족구장과 아이들이 좋아하는 트램펄린이 있어 마음껏 뛰어놀 수 있으며, 여름을 시원하게 책임져 줄 수영장과 실내놀이터가 있다. 매주 토요일에는 아이들을 위한 계절별 체험학습이 이루어지고 있으며 자전거도 무료대여가 가능하다.",20221102
영흥도십리포캠핑장,여가활동,캠핑,일반야영장,인천광역시,옹진군,영흥면,내리,674 번지,영흥북로,360 번,37.27968283,126.4867459,23118,인천광역시 옹진군 영흥면 영흥북로 360,인천광역시 옹진군 영흥면 내리 674,0328860700,,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"해수욕장, 바닷가, 갯벌, 오토캠핑, 데크, 족구장, 파티, 공용시설, 자연학습, 잔디",정보없음,20221130
예그리나숲,여가활동,캠핑,"일반야영장,자동차야영장",강원도,영월군,주천면,판운리,909 번지,중선로,609-4 번,37.34394974,128.307617,26202,강원도 영월군 주천면 중선로 609-4,강원도 영월군 주천면 판운리 909,0333748255,http://www.yegreenasoop.net,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,1,1,1,20,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,"단체석, 주차, 남/녀 화장실 구분","청정계곡과 함께하는 캠핑, 펜션, 단체워크샵, 휴식과 힐링을 제공합니다",20221102
예다움 캠핑장,여가활동,캠핑,자동차야영장,강원도,영월군,김삿갓면,내리,551 번지,내리계곡로,1162-1 번,37.10970023,128.6709643,26247,강원도 영월군 김삿갓면 내리계곡로 1162-1,강원도 영월군 김삿갓면 내리 551,,http://www.yedaumcamping.co.kr/,민간,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,1,1,1,15,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",예다움 캠핑장입니다. 남녀노소 물놀이하기 좋 으면 주변 경관이 기가 막힙니다.,20221102
예담숲,여가활동,캠핑,일반야영장,강원도,홍천군,서면,동막리,468-1 번지,한서로,347-5 번,37.669247,127.5759831,25100,강원도 홍천군 서면 한서로 347-5,강원도 홍천군 서면 동막리 468-1,0334342926,,민간,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,반려동물 동반 불가능,안녕하세요~예담숲입니다.아이들과 함께 즐길 수 있는 오토 캠핑장입니다,20221130
예당관광지 국민여가캠핑장,여가활동,캠핑,"일반야영장,자동차야영장",충청남도,예산군,응봉면,후사리,136-3 번지,예당관광로,123 번,36.63668762,126.7980707,32447,충청남도 예산군 응봉면 예당관광로 123,충청남도 예산군 응봉면 후사리 136-3,0413398299,http://camping.yesan.go.kr/main.do,국민여가,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,2,2,1,14,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,공원,"예당관광지 국민여가캠핑장은 충남 예산군 응봉면에 자리 잡았다. 예산군청을 기점으로 8㎞가량 떨어졌다. 자동차에 몸을 싣고 예산로, 역전로, 예당관광로를 차례로 달리면 닿는다. 도착까지 소요되는 시간은 20분 안팎이다. 이곳은 충남의 젖줄인 예당저수지 호반에 터를 잡았다. 게다가 사시사철 풍경을 달리하는 산으로 둘러싸였다. 이처럼 산자수명한 덕택에 캠핑장 개장 기간에는 캠퍼들로 넘쳐난다. 캠핑장에는 자동차 야영장 27면을 마련했다. 바닥 형태는 모두 잔디로 이뤄졌으며, 사이트 크기는 가로 7m 세로 8m다. 개인 트레일러와 개인 카라반 동반 입장이 가능하다. 관리소에서는 릴선을 대여해준다. 평일 주말 모두 운영하지만, 매년 1~2월에는 휴장한다. 예약은 온라인 실시간으로 받는다.  캠핑장 주변에 봉수산자연휴양림, 추사 김정희 선생 고택 등 관광자원이 풍부하다. 캠핑장 주변에 한식, 일식, 중식 등을 전문으로 요리하는 음식점도 많다.",20221130
예마을캠핑장,여가활동,캠핑,카라반,경상북도,고령군,덕곡면,가륜리,229-2 번지,덕운로,816 번,35.79315126,128.2133775,40126,경상북도 고령군 덕곡면 덕운로 816,경상북도 고령군 덕곡면 가륜리 229-2,0549545555,http://yegogo.co.kr,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,6,6,6,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,펜션,"고령 예마을은 경북 고령군 덕곡면에 자리했다. 고령군청을 기점으로 약 11㎞ 거리며, 주산순환길, 대가야로, 덕운로를 차례로 거치면 닿는다. 도착까지 소요되는 시간은 20분가량이다. 농촌체험 휴양마을 으뜸촌으로 이름 높은 이곳에 발을 들이면 놀이공원에 온 듯한 착각에 빠진다. 대형 워터파크가 부럽지 않은 수영장과 물놀이 시설을 갖췄기 때문이다. 너른 잔디밭 외곽에 자리한 캠핑장에는 카라반 6대를 배치했다. 카라반 내부에는 침대, 냉난방기, TV, 냉장고, 취사도구, 조리도구 등이 있어 일상생활이 가능할 정도다. 카라반 1대당 1대의 컨테이너를 추가로 사용할 수 있는데, 카라반 내부에는 화장실, 샤워실, 개수대를 설치했다. 외부 데크에는 파라솔과 바비큐 시설이 들어찼다.  캠핑장 인근에 해인사, 홍류동 계곡, 가야산국립공원 등이 있어 연계관광이 순조롭다. 가야산국립공원 방면으로 나가면 음식점도 많아 식도락의 즐거움을 누릴 수 있다.",20221130
예산 느티나무 캠핑장,여가활동,캠핑,일반야영장,충청남도,예산군,신양면,차동리,447 번지,차동송정길,2-71 번,36.59693592,126.9099516,32453,충청남도 예산군 신양면 차동송정길 2-71,충청남도 예산군 신양면 차동리 447,0413332442,http://nuticam.cafe24.com/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,4,2,2,30,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,방갈로,"예산 느티나무 캠핑장은 충남 예산군 신양면에 자리 잡았다. 예산군청을 기점으로 15㎞가량 떨어졌다. 자동차에 몸을 싣고 형제고개로, 차동로, 차동송정길을 차례로 달리면 닿는다. 도착까지 소요되는 시간은 20분 안팎이다. 이곳은 피톤치드 가득한 숲속에 위치했다. 이 덕분에 한여름에도 천연 그늘 덕분에 뙤약볕이 두렵지 않다. 사이트 간 간격이 넓어 프라이빗한 캠핑을 즐길 수 있다는 것도 장점 가운데 하나다. 캠핑장에는 일반 야영장 50면을 마련했다. 바닥은 파쇄석 48면, 데크 2면으로 이뤄졌다. 사이트 크기는 가로 6~7m 세로 7~13m 등 다양하다. 개인 트레일러와 개인 카라란 동반 입장이 가능하다. 사계절 내내 평일 주말 가리지 않고 운영한다. 예약은 온라인 실시간으로 받는다.  캠핑장 주변에 예당관광지, 봉수산자연휴양림 등이 있어 연계관광이 용이하다. 공주 유구시장이 지척이라 한우 음식점을 찾아나서는 것도 추천한다.",20221130
예손농원캠핑장,여가활동,캠핑,일반야영장,경기도,포천시,영북면,산정리,84-7 번지,여우고개로,7 번,38.06180298,127.3273369,11103,경기도 포천시 영북면 여우고개로 7,경기도 포천시 영북면 산정리 84-7,0315311255,http://www.산정호수캠핑장.한국/,민간,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,1,1,1,13,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,겨울철 휴장,"예손농원캠핑장은 2016년 10월 오픈한 곳으로 15,537평의 넓은 부지에 일반야영장이 있는 캠핑장이다. 사이트는 노지 사이트와 데크 사이트로 나뉘는데 데크 이용자가 많은 편이다. 이곳은 곳곳에서 자연을 느끼기 좋은 곳이다. 기본적으로 공기가 맑고 산으로 둘러싸여 있어 주변 산으로 둘러싸인 절경을 볼 수 있다. 산속 고지지만 밤이 되면 모기가 없다는 엄청난 장점을 가지고 있다. 또한 밤이 되면 하늘에 은하수가 펼쳐져 있어 도심에서는 많이 보지 못하는 수많은 별들의 향연을 관찰할 수 있다. 이외에도 캠핑장 한편에 위치한 비닐하우스 안에는 텃밭에 상추 파 가지 고추 등의 채소가 자라고 있다.    이곳은 편의시설 이용객들의 편의시설 평점이 좋은 곳이다. 화장실은 윤이 날 정도로 청결한 청소상태를 자랑하며 샤워장은 온수가 잘 나오며 샴푸, 바디워시 같은 욕실용품이 구비되어 있다. 그리고 개수대는 깔끔은 기본, 세제와 수세미도 비치되어 있다. 참고로 겨울철에는 휴장하니 방문 전 확인해보자.",20221130
예원캠핑장,여가활동,캠핑,일반야영장,전라북도,완주군,동상면,수만리,741 번지,송광수만로,1079-126 번,35.92687523,127.2577133,55344,전라북도 완주군 동상면 송광수만로 1079-126,전라북도 완주군 동상면 수만리 741,0632431011,http://newyewon.com/,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,1,1,1,0,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,"주차, 예약, 무선 인터넷","예원캠핑장은 도시화로 사라져간 산골마을의 부지를 매입하여 지어진 캠핑장으로 오두막과 펜션을 함께 운영하는 곳이다. 전주 한옥마을에서 30여 분 거리에 있고 수만리 계곡의 최상류 지점에 위치하고 있다. 깊은 산중에 위치한 만큼 소음이 전혀 없어 조용히 휴식을 취할 수 있다. 특히 오두막은 벽체를 편백나무로 시공하여 편안한 숙면을 제공한다. 예원캠핑장은 전체 소등이 밤 10시라 10시 이후에는 적막함 속에서 조용히 잠들 수 있다.  산과 계곡으로 둘러 싸여 있어 밤이면 풀벌레 소리, 아침이면 새소리와 계곡의 물소리를 들으며 기상할 수 있다. 한여름에도 기온이 도심보다 낮아 시원하다. 또한 펜션 뒤편으로 등산로가 이어져 있다. 계곡을 따라 편도 약 6km의 산책로가 있고 소요시간은 왕복 2시간 정도 걸리니 이용해 보자.  청결한 화장실, 개수대, 샤워장 등이 설비되어있고 24시간 온수가 나온다. 또 노래방, 탁구장, 당구장도 있는데 사전예약을 해야 이용가능하다. 반려동물의 입장은 가능하나 목줄과 배설물 관리를 반드시 주인이 해야 한다는 조건이 있다.",20221102
예천군 곤충나라 사과테마파크 오토캠핑장,여가활동,캠핑,일반야영장,경상북도,예천군,효자면,백석리,160 번지,제촌길,58-2 번,36.80298005,128.4538433,36802,경상북도 예천군 효자면 제촌길 58-2,경상북도 예천군 효자면 백석리 160,0546506295,,지자체,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,2,2,2,20,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,"오토캠핑, 데크, 파쇄석, 수영장, 족구장, 자연학습","곤충나라 사과테마파크 오토캠핑장은 경상북도 예천군 소백산 국립공원 내에 자리했다. 중앙고속도로 풍기IC로 나와 소백산국립공원 방면으로 이동하다 ‘국립산림치유원’ 방면으로 약 7km를 이동하면 ‘예천곤충생태원’이 나온다. 생태원을 지나 다리를 건너기 전 우회전하여 길을 따라 약 2km 이동하면 캠핑장 입구에 도착한다.   캠핑장은 소백산 자락, 백석저수지 인근에 위치해 있다. 오토캠핑이 가능한 데크 16면, 자갈 5면 등 총 20면의 사이트가 마련되어 있다. 여름철에는 수영장을 운영하며, 백석저수지를 한 바퀴 돌아볼 수 있는 산책로가 마련되어 있어 신선한 공기를 마시며 산책을 할 수 있다.  야영장 주변에는 곤충나라 사과테마파크, 국립산림치유원, 예천곤충생태원, 회룡포, 삼강주막 등이 있어 연계관광이 용이하다. 예천군청이 위치한 읍내에 식당과 마트가 있다.",20221102
옛서당캠핑농원,여가활동,캠핑,일반야영장,전라남도,장성군,삼계면,화산리,47 번지,화산길,1 번,35.28579665,126.6448436,57234,전라남도 장성군 삼계면 화산길 1,전라남도 장성군 삼계면 화산리 47,,http://cafe.naver.com/ysdcamp,민간,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,1,1,20,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,폐교에 잘 가꾸어 진 잔디밭과 정라된 시설.,"옛서당캠핑농원은 장성군 삼계면 화산길에 위치한 폐교를 개조해서 만든 캠핑장이다. 주말(금~일)에만 이용 가능하며 오토캠핑과 장비대여 캠핑, 펜션을 운영하고 있다. 사이트는 파쇄석과 잔디 두 종류이며 잔디 30동, 파쇄 9동, 펜션1동(원룸형 펜션)으로 이루어져 있다. 편의시설은 샤워장, 개수대, 화장실, 매점 등이 있고 매점에서는 장작, 숯, 음료, 주류, 생수, 얼음 등을 판매한다.    이곳은 장성군 주말농장과 체험학습장으로 선정된 곳으로 각종 체험프로그램이 운영되고 있다. 캠핑장 내부에 텃밭과 체험장, 건물 안에는 공방 등의 시설이 있고 미꾸라지 잡기, 공방체험 등 다양한 프로그램이 있다. 실제로 어린이를 동반한 많은 방문객들이 참여하고 좋은 반응을 얻고 있다.     옛서당캠핑농원은 다른 계절에 방문해도 좋지만 특히 가을에 빛을 발한다. 캠핑장에 있는 은행나무가 농익은 가을분위기를 연출하고 캠핑장 주변으로 감나무가 즐비해 잘 익은 감을 따먹을 수도 있다. 또한 주변관광지로 백양사, 축령산휴양림, 남창계곡, 홍길동테마파크, 장성호, 경필암서원, 경입암산성, 금곡영화촌 등이 있어 아름다운 단풍을 감상하며 함께 즐길 수 있다.",20221130
오글오글오토캠핑장,여가활동,캠핑,"일반야영장,글램핑",경상북도,경주시,산내면,내일리,991-2 번지,문복로,1637-32 번,35.76070293,129.0624934,38186,경상북도 경주시 산내면 문복로 1637-32,경상북도 경주시 산내면 내일리 991-2,,http://ogleogleps.com/,민간,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,11,11,11,11,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,반려동물 동반 불가능,"오글오글글램핑은 경북 경주시 산내면에 자리 잡고 있다. 경주시청을 기점으로 33㎞가량 떨어졌다. 자동차에 몸을 싣고 용담로, 건포산업로, 단석로를 차례로 달리면 닿는다. 도착까지 소요되는 시간은 40분 안팎이다. 이곳은 해발 250m 산중턱에 터를 잡았다. 이 덕분에 발 아래로 내려다보이는 풍경이 일품이다. 때를 잘 만나면 산을 뒤덮은 운무를 감상할 수 있다. 밤이면 산 아래 펜션촌의 불빛이 장관을 연출한다. 캠핑장에는 글램핑 11개 동을 마련했다. 객실 내부는 침대, 화장실, 샤워실, 선풍기 등을 갖췄으며, 외부 전용 공간에는 개수대, 취사도구, 식기, 냉장고, 의자 일체혐 캠핑 테이블, 해먹, 바비큐 장비 등을 배치했다. 캠핑장은 연중 운영하며, 예약은 온라인 실시간으로 가능하다.  캠핑장 인근에는 경주국립공원 단석산지구가 있으며, 자동차로 30분가량 나가면 보문관광단지가 있어 연계관광이 용이하다. 관광지 주변에 음식점도 많다.",20221102
오도산 자연휴양림,여가활동,캠핑,일반야영장,경상남도,합천군,봉산면,압곡리,152 번지,오도산휴양로,433 번,35.6723341,128.0552989,50210,경상남도 합천군 봉산면 오도산휴양로 433,경상남도 합천군 봉산면 압곡리 산 152,0559303733,ohdosan.hc.go.kr,지자체,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,5,1,2,80,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"주차, 예약","오도산자연휴양림은 해발 1,134m 오도산 한 자락에 위치하고 있다. 북쪽으로는 우리나라 3대 사찰중의 하나인 해인사와 남쪽으로는 합천호와 연접해 있어 아름다운 자연 경관을 이루고 있는 곳이다. 산 깊은 계곡에서 연중 흘러내리는 시원한 물과 정겨운 산새 소리에 흠뻑 빠져 자연과 하나가 될 수 있는 곳이다.     휴양림 내의 편의시설로는 숲속의 집(숙박동)과, 청소년 수련관, 80여 개의 사이트가 있는 캠핑장이 있다. 나무다리와 야영 데크, 상부목교와 야영 데크로 구분되어져 있다. 차량진입은 하부 야영장 데크는 진입 가능하나, 상부 야영장 데크는 주차 후 20~50m까지 도보로 걸어가야 한다.    휴양림 내에는 등산로, 산책로, 야영장, 숲속의 집, 자연 물놀이장이 곳곳에 있어 아이들이 걱정 없이 물놀이를 할 수 있다. 물놀이장 옆으로는 체육시설이 갖춰져 있어 운동도 할 수 있다. 미안할 정도로 깨끗하게 잘 관리되고 있는 개수대와 화장실, 샤워장은 다시 오고 싶은 마음이들 정도로 정리가 잘 되어있다.",20221102
오로라글램핑 펜션,여가활동,캠핑,"일반야영장,글램핑",대전광역시,서구,장안동,,363-2 번지,장안로,604 번,36.2100409,127.3372642,35428,대전광역시 서구 장안로 604,대전광역시 서구 장안동 363-2,050714133080,https://aurora3223.modoo.at/,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"스파, 신축, 독채, 글램핑, 복층, 침대방, 모던, 온돌방, 개별바비큐, 바비큐장",알수없음,20221102
오류캠핑장,여가활동,캠핑,"일반야영장,카라반",경상북도,경주시,감포읍,오류리,127-1 번지,감포로,382-7 번,35.82111199,129.5085593,38125,경상북도 경주시 감포읍 감포로 382-7,경상북도 경주시 감포읍 오류리 산127-1,0547508600,http://camping.gyeongju.go.kr/,국민여가,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,2,2,1,36,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,바다,"오류캠핑장은 경북 경주시 감포읍에 자리 잡았다. 경주시청을 기점으로 35㎞가량 떨어졌다. 자동차에 몸을 싣고 경감로, 토함산로, 31번 국도를 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 50분 안팎이다. 이곳은 경주를 대표하는 해변 가운데 하나인 오류고아라해변 앞에 터를 잡았다. 이 덕택에 여름철이면 해수욕과 더불어 캠핑을 즐기려는 이들의 발길이 끊이지 않는다. 캠핑장에는 일반 야영장 8면과 카라반 28대를 마련했다. 일반 야영장 바닥은 모두 자갈로 이뤄졌다. 개인 트레일러와 개인 카라반 동반 입장은 불가능하다. 카라반 내부는 침대, 에어컨, 냉장고, 개수대, 취사도구, 식기류, 화장실, 샤워실 등 일상생활을 해도 무리가 없을 물품과 시설로 들어찼다. 캠핑장은 연중 쉬지 않고 운영한다.  캠핑장이 자리한 오류고아라해변을 비롯해 나정고운모래해변, 양포항 등 주변 관광자원이 풍부하다. 가까운 거리에 여러 음식점도 성업 중이다.",20221130
오름새,여가활동,캠핑,자동차야영장,경기도,여주시,산북면,송현리,465 번지,송현길,111-31 번,37.3807184,127.455261,12603,경기도 여주시 산북면 송현길 111-31,경기도 여주시 산북면 송현리 465,0318852820,http://cafe.naver.com/campcarline,민간,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,반려동물 동반 불가능,"오름새캠핑장은 도심을 벗어나 자연을 느낄 수 있는 자연친화적 캠핑장이다. 카라반 전용의 자동차 야영장으로, 카라반이나 캠핑카를 소유하신 분들을 대상으로 1년단위로 장박 사용이 가능하다.",20221102
오름집,여가활동,캠핑,일반야영장,제주특별자치도,서귀포시,보목동,,526 번지,보목포로65번길,6 번,33.24048035,126.6081981,63599,제주특별자치도 서귀포시 보목포로65번길 6,제주특별자치도 서귀포시 보목동 526,,https://jejuormhouse.modoo.at,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,1,1,1,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,시골집에 딸린 밭같은 언덕위에 몇개의 데크를 설치해두고 소규모로 운영하는 곳이다. 마을안에 그것도 집안에 있어서 특별한 느낌이 난다.,"햇살정원 제주캠핑은 서귀포시 보목동에 위치하고 있으며, 조용하고 아름다운 바닷가 마을로 올레 6코스 중간지점이기도 하다. 민박과 야영장이 함께 있는 캠핑장이다. 작고 아담해 시골집에 놀러온 듯한 기분으로 편안하게 머물다 올 수 있다.      캠핑장 뒤로 제지기 오름이 자리하고 있어 여유롭게 산책을 즐길 수 있다. 캠핑장에 심어져 있는 야자수들을 볼 때 마다 마치 외국에 와있는 듯한 착각에 빠지곤 한다. 캠핑장의 위치가 좋아 서귀포 주요 관광지나 시내까지는 차로 10~15분밖에 소요되지 않아 여러 곳을 방문하는데 용이하다.      캠핑장에서 1분만 걸어 나가면 보목 앞바다가 나온다. 물놀이 할 수 있는 모래해변은 아니지만, 바닷가에서 낚시도 하고 보말캐기 체험도 한다. 운동 삼아 20분 정도 걸어가거나 차로 3분만 가면 쇠소깍이 나오며, 이중섭거리, 올레시장, 천지연폭포 등 관광 명소들도 차로 15분 내에 거리에 있으니 한번쯤 둘러보는 것도 좋다.",20221130
오색허브농원 캠핑장,여가활동,캠핑,일반야영장,강원도,양양군,서면,가라피리,9 번지,송어길,38 번,38.07001954,128.5386587,25033,강원도 양양군 서면 송어길 38,강원도 양양군 서면 가라피리 9,0336720462,http://www.osaekherb.co.kr/,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,3,7,8,10,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"데크, 파쇄석, 카라반, 오토캠핑, 계곡, 바비큐장, 신축, 체험활동, 반려동물, 와이파이",시원한 계곡과 향기로운 허브가든에서 즐기는 감성캠핑장,20221102
오서산자연휴양림,여가활동,캠핑,일반야영장,충청남도,보령시,청라면,장현리,52-2 번지,오서산길,531 번,36.45343343,126.6729118,33422,충청남도 보령시 청라면 오서산길 531,충청남도 보령시 청라면 장현리 산 52-2,0419365465,http://www.huyang.go.kr/main.action,지자체,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,반려동물 동반 불가능,알수없음,20221102
오션포레글램핑,여가활동,캠핑,글램핑,경상남도,고성군,회화면,당항리,27 번지,회진로,321 번,35.05711398,128.390766,52915,경상남도 고성군 회화면 회진로 321,경상남도 고성군 회화면 당항리 산 27,0556725588,https://blog.naver.com/oceanforet19,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,1,1,0,0,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,반려동물 동반 가능,"경남 고성의 오션포레 캠핑장은 당항포국민관광단지 위쪽 산속에 위치하고 있다. 객실에서 바로 바다가 조망되진 않지만, 대신 조용하고 아늑한 캠핑을 즐길 수 있는 곳이다. 오션포레는 1만여평의 부지에 글램핑 30동, 펜션 10동의 경남 최대 초대형 글램핑장이다. 넓은 공간은 물론 전 객실마다 배치된 개별 샤워실과 화장실, 안락한 침대와 포근한 침구류, Wifi와 TV, 신선한 요리를 만들 수 있는 청결한 주방 등 일체의 시설이 갖춰져 별도의 캠핑도구 필요없이 글램핑의 모든것을 해결 할 수 있다. 객실외에도 상당한 규모의 야외 수영장과 매점, 카페가 마련되어 있고 산책로와 전망대, 텃밭과 생태학습장을 갖추고 있다.",20221102
오솔길 오토 캠핑장,여가활동,캠핑,일반야영장,경상북도,경주시,산내면,내일리,756-2 번지,상목길,108-3 번,35.74212683,129.075293,38185,경상북도 경주시 산내면 상목길 108-3,경상북도 경주시 산내면 내일리 756-2,050713149974,https://cafe.naver.com/naturehumanbeing,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"파쇄석, 개별바비큐, 반려동물, 공용시설, 자연학습, 선착순입장, 신축, 모던, 장기숙박, 계곡, 문화유적",저희 캠핑장은 공휴일 및 금토일만 영업합니다.,20221102
오시아노 오토캠핑리조트,여가활동,캠핑,일반야영장,전라남도,해남군,,화봉리,,,,34.65151287,126.269759,59002,,전라남도 해남군 화원면 화봉리,0615340122,http://www.oceanoresort.co.kr/,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,4,2,2,0,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,"개인 트레일러 입장가능, 반려동물 동반 불가능","오시아노 오토캠핑리조트는 해남군 화원면에 있는 오시아노관광단지 내에 위치하고 있다. 이곳은 해수욕장, 캠핑장, 골프장을 갖춘 종합 레저타운이라 다양한 즐길거리가 있고 도로 및 부대시설과 편의시설이 잘 갖추어 쾌적한 환경을 자랑한다. 캠핑장은 170개의 캠핑사이트가 있으며 사이트는 파쇄석, 잔디, 데크 세 종류다.    이곳은 특히 바다가 가까워 바다를 느끼기가 좋다. 전망 데크에서 아름다운 석양을 바라볼 수도 있고 게잡이 체험, 낚시체험과 더불어 썰물 때 갯벌에서 고동줍기 체험을 할 수도 있다.    내부 즐길거리로는 바닥분수, 커튼분수, 안개분수 등 시원한 분수시설을 운영한다. 사시사철 각기 다른 테마를 갖춘 테마별 주제 공원과 서양식 정원을 경험할 수 있는 종합하훼단지 남도 플라워 파크가 있다. 참고로 캠핑장은 연 365일 상시 운영되나 정기휴일은 매주 화, 수요일(공휴일, 성수기 제외)이니 참고하자.",20221102
